Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2015-01-01,2,La Rioja,16,18,34
2015-01-01,2,Mendoza,169,2,171
2015-01-01,2,Misiones,89,7,96
2015-01-01,2,Neuquén,96,2,98
2015-01-01,2,Río Negro,98,1,99
2015-01-01,2,Salta,98,3,101
2015-01-01,2,San Juan,51,621,672
2015-01-01,2,San Luis,13,317,330
2015-01-01,2,Santa Cruz,25,379,404
2015-01-01,2,Santa Fe,546,649,1195
2015-01-01,2,Santiago Del Estero,39,3,42
2015-01-01,2,Tierra Del Fuego,33,619,652
2015-01-01,2,Tucumán,141,42,183
2015-01-01,1,Buenos Aires,3,15,18
2015-01-01,1,Capital Federal,1,12,13
2015-01-01,1,Catamarca,25,20,45
2015-01-01,1,Chaco,81,31,112
2015-01-01,1,Chubut,63,2,65
2015-01-01,1,Córdoba,597,294,891
2015-01-01,1,Corrientes,81,43,124
2015-01-01,1,Entre Ríos,166,231,397
2015-01-01,1,Formosa,27,43,70
2015-01-01,1,Jujuy,37,3,40
2015-01-01,1,La Pampa,62,542,604
2015-01-01,1,La Rioja,16,23,39
2015-01-01,1,Mendoza,168,2,170
2015-01-01,1,Misiones,85,7,92
2015-01-01,1,Neuquén,93,2,95
2015-01-01,1,Río Negro,96,1,97
2015-01-01,1,Salta,97,18,115
2015-01-01,1,San Juan,51,702,753
2015-01-01,1,San Luis,13,354,367
2015-01-01,1,Santa Cruz,26,424,450
2015-01-01,1,Santa Fe,536,797,1333
2015-01-01,1,Santiago Del Estero,39,8,47
2015-01-01,1,Tierra Del Fuego,33,730,763
2015-01-01,1,Tucumán,138,92,230
2014-01-01,4,Buenos Aires,3,15,18
2014-01-01,4,Capital Federal,1,12,13
2014-01-01,4,Catamarca,25,21,46
2014-01-01,4,Chaco,66,37,103
2014-01-01,4,Chubut,67,2,69
2014-01-01,4,Córdoba,590,319,909
2014-01-01,4,Corrientes,66,54,120
2014-01-01,4,Entre Ríos,141,246,387
2014-01-01,4,Formosa,26,51,77
2014-01-01,4,Jujuy,36,3,39
2014-01-01,4,La Pampa,57,567,624
2014-01-01,4,La Rioja,16,23,39
2014-01-01,4,Mendoza,168,2,170
2014-01-01,4,Misiones,77,7,84
2014-01-01,4,Neuquén,93,2,95
2014-01-01,4,Río Negro,95,1,96
2014-01-01,4,Salta,94,26,120
2014-01-01,4,San Juan,51,729,780
2014-01-01,4,San Luis,13,359,372
2014-01-01,4,Santa Cruz,25,436,461
2014-01-01,4,Santa Fe,528,938,1466
2014-01-01,4,Santiago Del Estero,39,9,48
2014-01-01,4,Tierra Del Fuego,28,741,769
2014-01-01,4,Tucumán,137,95,232
2014-01-01,3,Buenos Aires,3,14,17
2014-01-01,3,Capital Federal,1,11,12
2014-01-01,3,Catamarca,25,21,46
2014-01-01,3,Chaco,64,36,100
2014-01-01,3,Chubut,67,2,69
2014-01-01,3,Córdoba,585,200,785
2014-01-01,3,Corrientes,64,33,97
2014-01-01,3,Entre Ríos,137,115,252
2014-01-01,3,Formosa,26,64,90
2014-01-01,3,Jujuy,34,2,36
2014-01-01,3,La Pampa,62,564,626
2014-01-01,3,La Rioja,16,23,39
2014-01-01,3,Mendoza,166,2,168
2014-01-01,3,Misiones,75,0,75
2014-01-01,3,Neuquén,100,2,102
2014-01-01,3,Río Negro,97,1,98
2014-01-01,3,Salta,93,25,118
2014-01-01,3,San Juan,51,748,799
2014-01-01,3,San Luis,13,363,376
2014-01-01,3,Santa Cruz,26,446,472
2014-01-01,3,Santa Fe,520,691,1211
2014-01-01,3,Santiago Del Estero,38,9,47
2014-01-01,3,Tierra Del Fuego,28,755,783
2014-01-01,3,Tucumán,132,88,220
2014-01-01,2,Buenos Aires,3,14,17
2014-01-01,2,Capital Federal,1,11,12
2014-01-01,2,Catamarca,25,23,48
2014-01-01,2,Chaco,63,36,99
2014-01-01,2,Chubut,69,2,71
2014-01-01,2,Córdoba,577,205,782
2014-01-01,2,Corrientes,63,33,96
2014-01-01,2,Entre Ríos,135,115,250
2014-01-01,2,Formosa,26,65,91
2014-01-01,2,Jujuy,34,2,36
2014-01-01,2,La Pampa,55,580,635
2014-01-01,2,La Rioja,16,23,39
2014-01-01,2,Mendoza,165,2,167
2014-01-01,2,Misiones,75,0,75
2014-01-01,2,Neuquén,90,2,92
2014-01-01,2,Río Negro,95,1,96
2014-01-01,2,Salta,92,25,117
2014-01-01,2,San Juan,51,755,806
2014-01-01,2,San Luis,13,364,377
2014-01-01,2,Santa Cruz,27,459,486
2014-01-01,2,Santa Fe,512,605,1117
2014-01-01,2,Santiago Del Estero,38,9,47
2014-01-01,2,Tierra Del Fuego,27,766,793
2014-01-01,2,Tucumán,132,88,220
2014-01-01,1,Buenos Aires,3,14,17
2014-01-01,1,Capital Federal,1,11,12
2014-01-01,1,Catamarca,24,23,47
2014-01-01,1,Chaco,63,36,99
2014-01-01,1,Chubut,68,2,70
2014-01-01,1,Córdoba,567,205,772
2014-01-01,1,Corrientes,62,33,95
2014-01-01,1,Entre Ríos,134,115,249
2014-01-01,1,Formosa,25,87,112
2014-01-01,1,Jujuy,34,2,36
2014-01-01,1,La Pampa,54,592,646
2014-01-01,1,La Rioja,16,23,39
2014-01-01,1,Mendoza,164,2,166
2014-01-01,1,Misiones,74,0,74
2014-01-01,1,Neuquén,88,2,90
2014-01-01,1,Río Negro,94,1,95
2014-01-01,1,Salta,91,25,116
2014-01-01,1,San Juan,51,755,806
2014-01-01,1,San Luis,12,364,376
2014-01-01,1,Santa Cruz,26,460,486
2014-01-01,1,Santa Fe,506,612,1118
2014-01-01,1,Santiago Del Estero,37,9,46
2014-01-01,1,Tierra Del Fuego,27,766,793
2014-01-01,1,Tucumán,130,88,218
